wrote[0]=0, read[0]=0
wrote[1]=1, read[1]=1
wrote[2]=2, read[2]=2
wrote[3]=3, read[3]=3
wrote[4]=4, read[4]=4
wrote[5]=5, read[5]=5
wrote[6]=6, read[6]=0
wrote[7]=7, read[7]=0
wrote[8]=8, read[8]=0
wrote[9]=9, read[9]=0
wrote[10]=10, read[10]=0
wrote[11]=11, read[11]=0
wrote[12]=12, read[12]=0
wrote[13]=13, read[13]=0
wrote[14]=14, read[14]=0
wrote[15]=15, read[15]=0
wrote[16]=16, read[16]=0
wrote[17]=17, read[17]=0
wrote[18]=18, read[18]=0
wrote[19]=19, read[19]=0
wrote[20]=20, read[20]=0
wrote[21]=21, read[21]=0
wrote[22]=22, read[22]=0
wrote[23]=23, read[23]=0
wrote[24]=24, read[24]=0
wrote[25]=25, read[25]=0
wrote[26]=26, read[26]=0
wrote[27]=27, read[27]=0
wrote[28]=28, read[28]=0
wrote[29]=29, read[29]=0
wrote[30]=30, read[30]=0
wrote[31]=31, read[31]=0
wrote[32]=32, read[32]=0
wrote[33]=33, read[33]=0
wrote[34]=34, read[34]=0
wrote[35]=35, read[35]=0
wrote[36]=36, read[36]=0
wrote[37]=37, read[37]=0
wrote[38]=38, read[38]=0
wrote[39]=39, read[39]=0
wrote[40]=40, read[40]=0
wrote[41]=41, read[41]=0
wrote[42]=42, read[42]=0
wrote[43]=43, read[43]=0
wrote[44]=44, read[44]=0
wrote[45]=45, read[45]=0
wrote[46]=46, read[46]=0
wrote[47]=47, read[47]=0
wrote[48]=48, read[48]=0
wrote[49]=49, read[49]=0
wrote[50]=50, read[50]=0
wrote[51]=51, read[51]=0
wrote[52]=52, read[52]=0
wrote[53]=53, read[53]=0
wrote[54]=54, read[54]=0
wrote[55]=55, read[55]=0
wrote[56]=56, read[56]=0
wrote[57]=57, read[57]=0
wrote[58]=58, read[58]=0
wrote[59]=59, read[59]=0
wrote[60]=60, read[60]=0
wrote[61]=61, read[61]=0
wrote[62]=62, read[62]=0
wrote[63]=63, read[63]=0
wrote[64]=64, read[64]=0
wrote[65]=65, read[65]=0
wrote[66]=66, read[66]=0
wrote[67]=67, read[67]=0
wrote[68]=68, read[68]=0
wrote[69]=69, read[69]=0
wrote[70]=70, read[70]=0
wrote[71]=71, read[71]=0
wrote[72]=72, read[72]=0
wrote[73]=73, read[73]=0
wrote[74]=74, read[74]=0
wrote[75]=75, read[75]=0
wrote[76]=76, read[76]=0
wrote[77]=77, read[77]=0
wrote[78]=78, read[78]=0
wrote[79]=79, read[79]=0
wrote[80]=80, read[80]=0
wrote[81]=81, read[81]=0
wrote[82]=82, read[82]=0
wrote[83]=83, read[83]=0
wrote[84]=84, read[84]=0
wrote[85]=85, read[85]=0
wrote[86]=86, read[86]=0
wrote[87]=87, read[87]=0
wrote[88]=88, read[88]=0
wrote[89]=89, read[89]=0
wrote[90]=90, read[90]=0
wrote[91]=91, read[91]=0
wrote[92]=92, read[92]=0
wrote[93]=93, read[93]=0
wrote[94]=94, read[94]=0
wrote[95]=95, read[95]=0
wrote[96]=96, read[96]=0
wrote[97]=97, read[97]=0
wrote[98]=98, read[98]=0
wrote[99]=99, read[99]=0
